question,A,B,C,D,correct,tag
Khi nào diễn ra Tổng tuyển cử toàn quốc?,06/01/1946,02/09/1945,19/12/1946,09/11/1946,A,Chính trị
Tên nước được tuyên bố ngày 02/09/1945 là gì?,Việt Nam Dân chủ Cộng hòa,Quốc gia Việt Nam,Cộng hòa Việt Nam,Đại Việt,A,Chính trị
Khẩu hiệu cấp bách năm 1945 là gì?,Diệt giặc đói – giặc dốt – giặc ngoại xâm,Toàn dân tăng gia sản xuất ngay,Cải cách tiền tệ tức thời,Giảm thuế nông nghiệp ngay lập tức,A,Kinh tế - xã hội
Hiến pháp đầu tiên của nước ta được thông qua khi nào?,09/11/1946,02/09/1945,06/01/1946,19/12/1946,A,Chính trị
Phiên họp đầu tiên của Chính phủ lâm thời diễn ra ngày?,03/09/1945,19/08/1945,23/09/1945,28/02/1946,A,Chính trị
Chiến sự Pháp nổ súng ở Sài Gòn – Gia Định bắt đầu khi nào?,23/09/1945,19/12/1946,06/03/1946,09/03/1945,A,Quân sự
Phong trào xóa mù chữ sau 1945 mang tên gì?,Bình dân học vụ,Liên hiệp công nông,Hội nông dân cứu quốc,Đội tự vệ thành,A,Xã hội
Chủ trương “Hòa để tiến” được nêu trong chỉ thị ngày nào?,09/03/1946,06/03/1946,14/09/1946,12/07/1946,A,Ngoại giao
Hiệp định Sơ bộ giữa Việt Nam và Pháp ký ngày?,06/03/1946,09/11/1946,23/09/1945,19/12/1946,A,Ngoại giao
Tạm ước Việt – Pháp được ký vào ngày nào?,14/09/1946,28/02/1946,03/09/1945,20/10/1946,A,Ngoại giao
Hiệp ước Trùng Khánh (Hoa – Pháp) ký ngày?,28/02/1946,14/09/1946,06/03/1946,23/09/1945,A,Ngoại giao
Khẩu hiệu chính trị trung tâm thời kỳ 1945–1946 là gì?,“Dân tộc trên hết, Tổ quốc trên hết”,“Ruộng đất cho dân cày”,“Công – nông – binh liên minh”,“Hòa bình trên hết”,A,Chính trị
Biện pháp cấp bách để chống đói cuối 1945 là gì?,Tăng gia sản xuất và thực hành tiết kiệm,Đóng cửa chợ để bình ổn giá,In thêm tiền giấy để cứu đói,Mở sàn giao dịch lúa gạo,A,Kinh tế
Chủ trương giảm tô sau Cách mạng Tháng Tám là?,Giảm 25%,Giảm 10%,Giảm 50%,Không giảm,A,Kinh tế
Chính sách thuế nào bị bãi bỏ ngay sau 1945?,Thuế thân,Thuế muối,Thuế điền thổ,Thuế xuất nhập khẩu,A,Kinh tế
Phong trào quyên góp tài chính lớn năm 1945 là?,“Tuần lễ vàng”,“Tuần lễ bạc”,“Tháng tiết kiệm”,“Quỹ đồng tâm”,A,Kinh tế - xã hội
Tổ chức nào phụ trách thông tin liên lạc chủ chốt 1945–1946?,Nha Bưu điện - Điện báo (Bưu chính Viễn thông),Nhà hát lớn,Kho bạc Nhà nước,Đài khí tượng thủy văn,A,Hậu cần
Sự kiện đột kích trụ sở Việt Quốc, Đại Việt ở Hà Nội xảy ra rạng sáng?,12/07/1946,19/12/1946,06/03/1946,23/09/1945,A,An ninh
Hồ Chí Minh sang thăm và đàm phán tại Pháp trong khoảng thời gian nào?,31/05–20/10/1946,02/09–09/11/1946,06/01–03/03/1946,23/09–26/09/1945,A,Ngoại giao
Hội nghị đàm phán chính với Pháp tại Fontainebleau diễn ra khi nào?,06/07–10/09/1946,03/03–06/03/1946,12/07–20/07/1946,01/10–15/10/1946,A,Ngoại giao
Chi đội “Nam tiến” đầu tiên xuất phát ngày?,26/09/1945,19/08/1945,02/09/1945,09/11/1946,A,Quân sự
Tổ chức nâng cao mặt trận đoàn kết dân tộc năm 1946 là?,Mặt trận Liên Việt,Mặt trận Tổ quốc Việt Nam,Hội Liên hiệp quốc dân,Hội Nông dân Việt Nam,A,Chính trị
Tỷ lệ cử tri đi bầu Quốc hội khóa I ngày 06/01/1946 khoảng?,89%,51%,70%,95%,A,Chính trị
Đến cuối năm 1946, lực lượng quân đội chính quy ta khoảng?,8 vạn,3 vạn,15 vạn,20 vạn,A,Quân sự
Lực lượng vũ trang – bán vũ trang bảo vệ đô thị 1945–1946 chủ yếu là?,Tự vệ chiến đấu (dân quân, tự vệ),Chủ lực cơ giới,Tập đoàn quân cơ giới hóa,Không quân,A,Quân sự
Sự kiện nào nhằm hợp pháp hóa và củng cố chính quyền mới?,Bầu cử Quốc hội khóa I,Thành lập sàn chứng khoán,Huy động vốn quốc tế,Quốc hữu hóa toàn bộ công nghiệp,A,Chính trị
Chiến lược ngoại giao giai đoạn này được quán triệt là?,“Thêm bạn, bớt thù”,“Đóng cửa, tự cung tự cấp”,“Liên minh độc nhất với một nước”,“Trung lập tuyệt đối”,A,Ngoại giao
Hoạt động tuyên truyền – giáo dục quan trọng sau 1945 là?,Báo chí – áp phích – cổ động rộng khắp,Tổ chức thi cử quan lại,Thương mại hóa bưu chính,Đóng cửa trường học,A,Tuyên truyền
Ngày khai giảng Trường Đại học Quốc gia Việt Nam theo tư liệu nêu?,13/11/1945,05/09/1945,20/11/1946,09/01/1946,A,Giáo dục
